,價格,烘焙項目,總烘焙時間,總鍋數,豆子種類
28105,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28106,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28107,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28108,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28109,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28110,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28111,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28112,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28113,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28114,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28115,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28116,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28117,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28118,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28119,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28120,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28121,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28122,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28123,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28124,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28125,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28126,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28127,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28128,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28129,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28130,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28131,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28132,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28133,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28134,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28135,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28136,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28137,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28138,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28139,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28140,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28141,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28142,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
